Time,CPU Usage
42243.982265,22.8
42243.982390,20.1
42243.982497,22.6
42243.982625,22.7
42243.982752,22.5
42243.982879,22.9
42243.983006,20.6
42243.983083,22.7
42243.983184,22.4
42243.983195,14.4
42243.983207,18.7
42243.983218,20.0
42243.983230,22.2
42243.983241,18.6
42243.983253,21.9
42243.983265,21.1
42243.983276,21.2
42243.983288,22.7
42243.983299,18.1
42243.983311,22.2
42243.983323,21.7
42243.983334,12.8
42243.983346,14.5
42243.983358,17.1
42243.983369,23.1
42243.983381,22.1
42243.983392,22.6
42243.983404,22.1
42243.983415,22.3
42243.983427,22.3
42243.983439,22.6
42243.983450,21.3
42243.983462,22.0
42243.983474,21.3
42243.983485,21.5
42243.983497,21.8
42243.983508,22.4
42243.983520,22.7
42243.983532,22.6
42243.983543,22.2
42243.983555,22.0
42243.983566,22.7
42243.983578,22.2
42243.983590,22.1
42243.983601,23.1
42243.983613,22.0
42243.983625,21.2
42243.983666,23.5
42243.983793,23.0
42243.983920,22.7
42243.984047,22.8
42243.984175,22.6
42243.984215,22.6
42243.984248,21.4
42243.984264,15.2
42243.984272,14.1
42243.984284,21.1
42243.984411,22.9
42243.984538,22.9
42243.984665,22.7
42243.984792,22.7
42243.984809,21.1
42243.984818,18.8
42243.984874,22.6
42243.984885,14.8
42243.984897,22.3
42243.984908,22.4
42243.984920,22.5
42243.984931,22.4
42243.984943,21.6
42243.984954,22.2
42243.984966,22.3
42243.984978,22.8
42243.984989,22.8
42243.985001,22.8
42243.985012,23.3
42243.985024,23.0
42243.985036,21.8
42243.985047,21.9
42243.985059,23.0
42243.985071,22.5
42243.985082,23.1
42243.985094,22.1
42243.985105,22.6
42243.985117,22.9
42243.985129,23.0
42243.985140,23.5
42243.985152,23.1
42243.985163,23.3
42243.985175,22.9
42243.985187,22.9
42243.985198,21.1
42243.985210,22.0
42243.985221,21.9
42243.985233,22.6
42243.985245,20.7
42243.985256,18.6
42243.985268,20.9
42243.985279,19.9
42243.985291,22.2
42243.985303,22.3
42243.985314,22.6
42243.985326,21.7
42243.985338,21.9
42243.985349,22.5
42243.985361,22.9
42243.985372,22.0
42243.985384,22.2
42243.985396,22.5
42243.985407,21.8
42243.985419,21.7
42243.985431,22.3
42243.985442,22.9
42243.985454,22.7
42243.985465,21.2
42243.985477,21.7
42243.985489,22.4
42243.985500,21.1
42243.985512,21.7
42243.985523,21.2
42243.985535,21.8
42243.985547,21.8
42243.985558,22.0
42243.985570,21.8
42243.985582,21.9
42243.985593,22.3
42243.985605,21.9
42243.985616,22.8
42243.985628,23.0
42243.985640,22.8
42243.985651,23.0
42243.985663,22.2
42243.985674,22.6
42243.985686,22.6
42243.985698,22.8
42243.985709,22.2
42243.985721,23.6
42243.985733,23.0
42243.985744,22.2
42243.985756,21.9
42243.985767,22.4
42243.985779,22.2
42243.985791,22.1
42243.985802,22.2
42243.985814,22.0
42243.985826,22.2
42243.985837,21.8
42243.985849,22.1
42243.985860,12.6
42243.985872,15.2
42243.985883,21.5
42243.985895,21.3
42243.985907,22.4
42243.985918,22.0
42243.985930,22.2
42243.985942,23.2
42243.985953,22.1
42243.985965,21.3
42243.985976,21.7
42243.985988,22.8
42243.986000,22.3
42243.986011,22.5
42243.986023,23.1
42243.986035,22.6
42243.986046,21.1
42243.986058,22.5
42243.986069,22.0
42243.986081,22.6
42243.986093,21.6
42243.986104,22.1
42243.986116,22.8
42243.986127,21.2
42243.986139,21.8
42243.986151,20.8
42243.986162,22.5
42243.986174,21.7
42243.986186,22.0
42243.986197,22.6
42243.986209,23.2
42243.986220,22.1
42243.986232,21.3
42243.986244,21.3
42243.986255,21.6
42243.986267,21.5
42243.986278,22.2
42243.986290,22.0
42243.986302,22.2
42243.986313,23.0
